Time,M_x [gauss],M_y [gauss],M_z [gauss]
10.081383,0.3585,-0.0045,-0.009
10.091149,0.339,0.009,0.0435
10.100915,0.3675,0.0285,0.042
10.110682,0.372,0.0105,-0.006
10.120448,0.3315,-0.003,0.0105
10.130214,0.3525,0.0255,0.051
10.13998,0.375,0.027,0.015
10.149747,0.3375,-0.003,-0.009
10.159513,0.345,0.018,0.033
10.169279,0.3765,0.03,0.0375
10.179045,0.3675,-0.0015,-0.015
10.188812,0.333,-0.003,0.0195
10.198578,0.3705,0.0315,0.0435
10.208344,0.375,0.0135,0.006
10.21811,0.3345,-0.0015,-0.003
10.227876,0.345,0.0225,0.045
10.237643,0.378,0.0285,0.0285
10.247409,0.351,0.0,-0.0135
10.257175,0.333,0.003,0.03
10.266941,0.366,0.0345,0.048
10.276708,0.3675,0.0075,-0.0045
10.286474,0.333,0.0,0.0075
10.29624,0.351,0.018,0.0525
10.306006,0.3795,0.021,0.0135
10.315773,0.345,-0.0165,-0.018
10.325539,0.3375,0.0105,0.0375
10.335305,0.372,0.0375,0.0375
10.345071,0.357,0.003,-0.012
10.354838,0.3255,-0.0015,0.021
10.364604,0.3555,0.027,0.0435
10.37437,0.3705,0.0135,-0.0045
10.384136,0.345,-0.009,-0.0075
10.393902,0.3315,0.0195,0.0435
10.403669,0.3795,0.027,0.033
10.413435,0.3555,-0.006,-0.0105
10.423201,0.333,0.009,0.03
10.432967,0.3585,0.0375,0.045
10.442734,0.372,0.0135,-0.0045
10.4525,0.327,-0.006,0.0045
10.462266,0.357,0.024,0.051
10.472032,0.375,0.0165,0.0165
10.481799,0.348,-0.0105,-0.0195
10.491565,0.336,0.0105,0.0435
10.501331,0.3795,0.03,0.042
10.511097,0.366,0.0045,-0.0135
10.520863,0.33,-0.006,0.0195
10.53063,0.3495,0.0315,0.0555
10.540396,0.378,0.018,0.003
10.550162,0.336,-0.0015,-0.0045
10.559928,0.3375,0.018,0.0465
10.569695,0.3735,0.024,0.0345
10.579461,0.3525,-0.0075,-0.006
10.589227,0.339,0.006,0.0315
10.598993,0.363,0.033,0.0465
10.60876,0.369,0.015,0.0045
10.618526,0.336,-0.0045,-0.0015
10.628292,0.342,0.0255,0.0555
10.638058,0.372,0.018,0.0225
10.647824,0.3465,-0.0075,-0.0075
10.657591,0.3345,0.0045,0.039
10.667357,0.375,0.0315,0.0435
10.677123,0.363,-0.0015,-0.0135
