Datetime,C2 Value
2024-07-11 16:00:00,-32.17662387547627
2024-07-11 17:00:00,-32.157298755405826
2024-07-11 18:00:00,-32.19825611742129
2024-07-11 19:00:00,-32.29153792299537
2024-07-11 20:00:00,-32.291633392586064
2024-07-11 21:00:00,-32.268319001265475
2024-07-11 22:00:00,-32.25407839403985
2024-07-11 23:00:00,-32.24305550234556
2024-07-12 00:00:00,-32.19056618773242
2024-07-12 01:00:00,-32.179569465739114
2024-07-12 02:00:00,-32.144720939989355
2024-07-12 03:00:00,-32.148598612004776
2024-07-12 04:00:00,-32.135993541461005
2024-07-12 05:00:00,-32.16931998476973
2024-07-12 06:00:00,-32.13402136645013
2024-07-12 07:00:00,-32.18179492100654
2024-07-12 08:00:00,-32.17695275209475
2024-07-12 09:00:00,-32.20249675109399
2024-07-12 10:00:00,-32.175432379470834
2024-07-12 11:00:00,-32.167916525859724
2024-07-12 12:00:00,-32.30419092491219
2024-07-12 13:00:00,-32.37823262523736
2024-07-12 14:00:00,-32.379464382025624
2024-07-12 15:00:00,-32.46152786933087
2024-07-12 16:00:00,-32.47497383363253
2024-07-12 17:00:00,-32.47943592517377
2024-07-12 18:00:00,-32.44920255160736
2024-07-12 19:00:00,-32.46742429110372
2024-07-12 20:00:00,-32.53836289693642
2024-07-12 21:00:00,-32.539448157774125
2024-07-12 22:00:00,-32.48891122323463
2024-07-12 23:00:00,-32.40555434287334
2024-07-13 00:00:00,-32.361639010076516
2024-07-13 01:00:00,-32.29587067997892
2024-07-13 02:00:00,-32.26920116556576
2024-07-13 03:00:00,-32.20348420264927
2024-07-13 04:00:00,-32.17813016438984
2024-07-13 05:00:00,-32.15480762280826
2024-07-13 06:00:00,-32.14606902268795
2024-07-13 07:00:00,-32.18821046938952
2024-07-13 08:00:00,-32.27540434924568
2024-07-13 09:00:00,-32.27312857870068
2024-07-13 10:00:00,-32.28557499349043
2024-07-13 11:00:00,-32.29415765714282
2024-07-13 12:00:00,-32.29690289444919
2024-07-13 13:00:00,-32.35100969901499
2024-07-13 14:00:00,-32.31226037928634
2024-07-13 15:00:00,-32.30869823790398
2024-07-13 16:00:00,-32.30366771350296
2024-07-13 17:00:00,-32.23711501823341
2024-07-13 18:00:00,-32.27708545894704
2024-07-13 19:00:00,-32.29258777774848
2024-07-13 20:00:00,-32.20346520934551
2024-07-13 21:00:00,-32.19274738695402
2024-07-13 22:00:00,-32.15736460042024
2024-07-13 23:00:00,-32.13116825102114
2024-07-14 00:00:00,-32.02989556778904
2024-07-14 01:00:00,-31.98283974363706
2024-07-14 02:00:00,-31.910951499934733
2024-07-14 03:00:00,-31.84322008162448
2024-07-14 04:00:00,-31.80838428746928
2024-07-14 05:00:00,-31.777286993272316
2024-07-14 06:00:00,-31.769992418924616
2024-07-14 07:00:00,-31.740713797867095
2024-07-14 08:00:00,-31.75710272553381
2024-07-14 09:00:00,-31.759493707954505
2024-07-14 10:00:00,-31.833994311285586
2024-07-14 11:00:00,-31.90730964420255
2024-07-14 12:00:00,-31.923534480486584
2024-07-14 13:00:00,-31.927477482705044
2024-07-14 14:00:00,-31.92399738021421
2024-07-14 15:00:00,-31.95121777606
2024-07-14 16:00:00,-31.97374401112565
2024-07-14 17:00:00,-31.955770604009274
2024-07-14 18:00:00,-31.96925565111416
2024-07-14 19:00:00,-32.04687503069836
2024-07-14 20:00:00,-32.01539838930105
2024-07-14 21:00:00,-32.01179443384046
2024-07-14 22:00:00,-31.856170883661044
2024-07-14 23:00:00,-31.807858616886
2024-07-15 00:00:00,-31.589448265003327
2024-07-15 01:00:00,-31.485595540096146
2024-07-15 02:00:00,-31.457691621712186
2024-07-15 03:00:00,-31.427338360868887
2024-07-15 04:00:00,-31.329750630202273
2024-07-15 05:00:00,-31.266539711219878
2024-07-15 06:00:00,-31.277306866788173
2024-07-15 07:00:00,-31.38523678556415
2024-07-15 08:00:00,-31.43154822326291
2024-07-15 09:00:00,-31.380911260057907
2024-07-15 10:00:00,-31.672422098965285
2024-07-15 11:00:00,-31.029068680940476
2024-07-15 12:00:00,-31.33446928495146
2024-07-15 13:00:00,-31.41849987789949
2024-07-15 14:00:00,-31.748236669667364
2024-07-15 15:00:00,-31.49640481821605
2024-07-15 16:00:00,-31.4590739156358
2024-07-16 12:00:00,-36.19956546009309
2024-07-16 13:00:00,-36.30475787295815
2024-07-16 14:00:00,-36.332800398405624
2024-07-16 15:00:00,-36.324064181810485
2024-07-16 16:00:00,-36.10887454263175
2024-07-16 17:00:00,-29.30417363949161
2024-07-16 18:00:00,-27.703626995564708
2024-07-16 19:00:00,-26.86905574322982
2024-07-16 20:00:00,-26.042237872813665
2024-07-16 21:00:00,-25.48805552699067
2024-07-16 22:00:00,-24.94935371719647
2024-07-16 23:00:00,-24.465316642406023
2024-07-17 00:00:00,-24.137470686446047
2024-07-17 01:00:00,-23.792076064948716
2024-07-17 02:00:00,-23.433318317374287
2024-07-17 03:00:00,-23.13926892015759
2024-07-17 04:00:00,-22.840543812006302
2024-07-17 05:00:00,-22.639763904145408
2024-07-17 06:00:00,-22.568077867655347
2024-07-17 07:00:00,-22.376337507981656
2024-07-17 08:00:00,-22.32047127666296
2024-07-17 09:00:00,-22.218177946755844
2024-07-17 10:00:00,-22.09659043027758
2024-07-17 11:00:00,-21.99071805462473
2024-07-17 12:00:00,-21.936885848900417
2024-07-17 13:00:00,-21.876405958070634
2024-07-17 14:00:00,-21.837904343583485
2024-07-17 15:00:00,-21.771829121532573
2024-07-17 16:00:00,-21.74968068131608
2024-07-17 17:00:00,-21.734003282580254
2024-07-17 18:00:00,-21.72316806506469
2024-07-17 19:00:00,-21.783403745858045
2024-07-17 20:00:00,-21.67965060975437
2024-07-17 21:00:00,-21.440322993848337
2024-07-17 22:00:00,-21.14630696156438
2024-07-17 23:00:00,-20.96244318799912
2024-07-18 00:00:00,-20.68067735295254
2024-07-18 01:00:00,-20.455927954052804
2024-07-18 02:00:00,-20.278616576369487
2024-07-18 03:00:00,-20.132846356443032
2024-07-18 04:00:00,-19.99829588186171
2024-07-18 05:00:00,-19.87261260757224
2024-07-18 06:00:00,-19.827942353499132
2024-07-18 07:00:00,-19.85881707535853
2024-07-18 08:00:00,-19.884187142601046
2024-07-18 09:00:00,-19.882889099830177
2024-07-18 10:00:00,-20.010690730002345
2024-07-18 11:00:00,-19.959887376830665
2024-07-18 12:00:00,-19.925076192044905
2024-07-18 13:00:00,-19.86431746537833
2024-07-18 14:00:00,-19.85553640236361
2024-07-18 15:00:00,-19.8336181634566
2024-07-18 16:00:00,-19.823055664655897
2024-07-18 17:00:00,-37.501066672135636
2024-07-18 18:00:00,-33.46067374648535
2024-07-18 19:00:00,-33.65827411068844
